SWL1,SWL2,SWL3,SWL4,SWL5,SCA1,SCA2,SCA3,SCA4,SCA5,SCA6,SCB7,SCB8,SCB9,SCB10,SCB11,gender,ageyear,educ,income
4,3,3,5,3,2,4,4,4,4,4,2,4,5,4,3,1,25,4,7
2,2,4,3,2,4,3,3,3,4,3,1,1,1,2,3,2,30,4,5
3,2,3,2,2,4,3,3,4,4,3,4,4,4,3,2,2,46,2,5
4,4,4,3,3,4,4,4,2,3,2,5,4,2,3,2,2,33,4,3
2,3,4,2,2,2,4,4,4,4,3,5,4,4,2,3,2,22,2,7
3,3,3,2,2,3,3,2,3,3,3,2,3,3,3,3,2,27,4,6
4,4,4,4,4,5,4,4,4,2,4,4,4,4,4,4,1,30,4,2
2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,26,4,5
3,2,2,2,1,2,3,2,3,2,2,2,2,2,3,3,1,24,2,4
2,2,2,3,1,4,5,3,2,3,4,1,3,3,3,3,1,24,3,3
2,3,3,4,2,4,2,2,2,4,4,4,4,4,3,2,2,22,3,6
3,4,3,3,4,3,3,4,3,4,3,3,4,3,4,4,1,30,4,5
2,1,2,3,2,3,4,4,4,3,4,5,4,4,5,3,1,31,2,3
3,3,3,3,2,2,3,3,2,3,3,4,3,2,3,3,2,28,4,2
4,3,2,3,2,4,4,3,2,2,4,3,3,3,3,2,2,22,3,4
5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,37,4,5
3,3,2,4,2,2,4,2,3,2,3,4,3,2,4,2,1,27,4,4
3,3,3,3,2,4,4,2,3,3,3,3,2,2,2,2,2,47,4,7
4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,34,6,8
4,4,4,4,3,3,4,4,4,4,4,2,3,3,3,2,2,35,4,6
2,2,3,3,2,2,3,2,3,2,2,3,2,1,2,1,1,22,3,3
2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,2,27,4,10
3,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,1,28,4,5
2,3,1,2,1,4,3,2,3,4,4,2,2,1,2,1,2,34,4,4
3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,4,1,38,6,5
4,4,4,4,3,3,3,2,2,3,2,2,3,3,4,3,2,43,4,5
3,4,4,3,3,3,3,2,1,1,1,3,1,2,3,1,2,27,4,4
1,1,1,3,1,4,3,3,4,4,4,3,4,4,2,3,2,43,2,5
3,3,4,4,3,4,3,3,2,2,2,4,4,4,5,3,1,29,4,3
3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,30,4,2
4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,36,6,5
2,2,2,2,2,4,2,2,2,2,2,3,2,2,2,3,2,19,3,2
2,2,2,1,1,4,3,2,3,1,2,3,2,3,3,2,1,40,4,10
3,5,5,4,4,2,2,2,2,1,2,2,1,2,2,3,1,36,6,5
3,3,3,4,2,2,3,3,3,2,2,2,3,2,2,2,1,37,4,4
3,4,4,4,3,4,4,5,4,4,3,4,4,5,4,4,2,19,2,6
3,3,4,2,4,1,2,2,3,2,2,4,4,5,3,4,1,15,1,3
4,4,5,4,4,4,3,4,4,5,4,4,4,3,3,4,1,29,4,6
2,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,2,29,4,4
3,3,3,3,3,3,3,3,2,3,4,3,3,3,4,3,2,22,3,6
2,2,2,2,2,4,3,2,2,3,2,4,4,3,4,3,1,21,2,4
3,4,4,2,2,3,4,2,2,3,2,4,1,1,2,4,2,19,3,7
3,2,3,3,2,3,4,4,4,3,4,3,4,2,3,2,2,23,4,2
3,4,3,3,2,3,4,3,3,3,4,3,4,3,3,4,2,29,4,5
2,1,1,2,1,4,2,4,4,4,2,2,2,4,2,2,2,18,1,3
3,3,3,4,2,4,4,4,4,4,4,3,3,3,3,2,1,18,3,4
3,4,4,3,3,2,2,2,3,3,2,4,3,2,3,3,2,23,3,5
4,4,4,4,5,2,4,4,4,3,1,5,5,5,5,2,1,17,1,10
5,5,5,1,1,5,5,5,1,1,1,5,1,1,1,1,2,29,2,4
4,4,4,4,2,4,4,4,4,5,4,4,4,4,4,4,2,18,1,3
3,4,4,4,3,2,2,3,3,2,2,4,3,3,4,4,1,24,3,7
3,3,3,3,4,2,2,2,1,1,1,1,3,3,3,3,2,24,4,1
3,3,4,3,3,4,4,4,2,2,2,4,4,3,4,4,2,15,1,5
4,4,4,4,2,4,4,4,4,4,4,3,3,3,4,2,2,18,3,8
4,5,5,4,2,4,3,4,2,3,2,4,5,3,4,2,1,19,3,7
2,2,3,2,1,2,4,3,4,4,3,5,4,4,2,2,1,19,2,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,19,3,4
2,2,2,3,2,4,4,4,4,4,4,4,3,4,4,2,2,19,3,1
3,1,1,2,1,3,4,2,4,5,2,4,2,1,3,2,1,15,1,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,15,1,3
2,2,2,2,1,4,3,3,2,3,3,3,3,3,3,3,2,44,4,3
4,4,4,4,2,1,1,1,1,1,1,3,3,3,3,3,1,44,6,5
3,4,4,4,2,4,4,3,4,3,3,4,4,3,3,3,2,18,3,4
